920180565390778370,here's a new game: If you're a cis-man and you post #MeToo you will be unfriended and you might catch a block. Cut that shit out,1,1,4,,,,,,
920119960835309568,One to many. #metoo,1,1,4,,,,,,
920169650544979968,my mom and her bf are making fun of #metoo fuck him,1,1,4,,,,,,
920090205385871362,#MeToo,1,1,4,,,,,,
920357298874273793,All the women in me are tired. #metoo,1,1,4,,,,,,
920002047302303745,#MeToo https:// twitter.com/kat_elizabeth5 8/status/919990349816369152 …,1,1,,,,,,,
920277036396105729,In solidarity. #MeToo pic.twitter.com/HP1mWZtcZu,1,1,4,,,,,,
919948988899405827,"These #metoo stories make me sad and dissapointed. The fact that this behavior exists, & women deal with it in silence is disheartening",1,1,4,,,,,,
922509189280387075,Raped by 2 men at 15 at gunpoint. They were never found. High school boyfriend made me replay it since I didn’t seem shook up 2 him #MeToo,1,1,3,,,,,,
920135737776807936,This moment is also very important to me. #MeToo 20yrs and 15yrs ago.. by 2 different people. We'll get through this together ~Chook~ #WDoA,1,1,4,,,,,,
920116987069689856,#Metoo,1,1,4,,,,,,
920003558371500033,#metoo,1,1,4,,,,,,
920032559517569024,#MeToo,1,1,4,,,,,,
920686692725608448,That time I was asked to hold out my hand so the male exec could smack it bc he wasn't happy w/ the phone message I took for him #MeToo,1,1,1,,,,,,
919916771829837824,#metoo,1,1,4,,,,,,
921079509356511232,"#MeToo this actually is really close, his sons... Took a nice social media break after that",1,1,4,,,,,,
920777522232676352,"“Guys, it’s our turn” – Men Tweet #HowIWillChange In Response To Viral #MeToo Campaign https:// goo.gl/fb/KMaeHR",1,1,,,,,,,
920415531403968512,I have been part of the problem but I pledge to be part of the solution #MeToo http:// ift.tt/2xOBhZr pic.twitter.com/E4clOlvbsO,1,1,4,,,,,,
924628719880335363,Ugh im offended #metoo https:// twitter.com/RimKoumaira/st atus/924628212843450369 …,1,,,,,,,,
920712785637597186,@JCCCtweet @CoLabJCCC Why do you protect professors that sexually assault students? My whole class saw it! Paul Kyl… https://t.co/gK1Nw8Micf,1,1,3,,,,,,
921840458590023681,"I feel like some ppl are born to feel pain, like #MeToo , its like they have a magnet that pulls all bad things to themselves wthout wanting",1,1,,,,,,,
920117519184039936,#MeToo I was 6 the first time I was groped on a school playground. I’m honestly not sure I know any women who have not been verbally or physically assaulted at least once.,1,1,3,,,,,,
919891181206671360,"But today, after seeing so many women tweeting #MeToo , I decided to add my voice too.",1,1,4,,,,,,
921040772996120580,I didn’t feel that I had the “right” to do this but then I thought: “When will I ever? #metoo #thread,1,1,4,,,,,,
920041850542714881,#metoo,1,1,4,,,,,,
921039124748034049,The games industry responds to #MeToo http://www. gamesindustry.biz/articles/2017- 10-18-game-industry-vets-respond-to-metoo …,1,,,,,,,,
920317637875437574,#metoo,1,1,4,,,,,,
919999714795307008,#MeToo https:// twitter.com/Alyssa_Milano/ status/919665538393083904 …,1,1,4,,,,,,
919934682875166720,"#MeToo On the sidewalk. At work. By phone. In cabs. At the doctor. Through the mail. It doesn't get easier, it just gets more exhausting.",1,1,1,,,,,,
919986530374111234,New post on my blog: #MeToo : Sexual Harassment Stories Sweep Social Media After Weinstein Allegations http:// ift.tt/2yONPzV,1,,,,,,,,
920019206774640640,The latest Christian Beat! https:// paper.li/Christianbeat1 /1418674239?edition_id=1794c990-b2ae-11e7-8bb0-0cc47a0d1609 … #metoo,2,,,,,,,,
920335824356507648,Etoo #metoo,1,1,4,,,,,,
924156335763132416,http://www. loustal-so.com/2017/10/semain e-d-halloween-les-balais-de-sorcieres.html … #Halloween2017 #Halloween #ChangementDHeure #fantome #AsterixEtobelix #paris #LoveMyself #me #MeToo #Catalogne,2,,,,,,,,
920112362513944576,#MeToo,1,1,4,,,,,,
919898811140595712,#MeToo,1,1,4,,,,,,
919980116347965440,unfortunately the topic of harassment isn't discussed enough. #metoo,1,1,,,,,,,
922134062608846849,"Harvey Weinstein, accused by dozens, specifically disputes Lupita Nyong’o’s harassment claims https://www. washingtonpost.com/news/arts-and- entertainment/wp/2017/10/21/harvey-weinstein-accused-by-dozens-specifically-disputes-lupita-nyongos-harassment-claims/?utm_term=.34f6be06f36f … #metoo",1,2,3,,,,,,
